gene,number_of_tissues
ENSMUSG00000000001,91
ENSMUSG00000000003,3
ENSMUSG00000000028,83
ENSMUSG00000000031,37
ENSMUSG00000000037,51
ENSMUSG00000000049,20
ENSMUSG00000000056,91
ENSMUSG00000000058,80
ENSMUSG00000000078,91
ENSMUSG00000000085,90
ENSMUSG00000000088,91
ENSMUSG00000000093,66
ENSMUSG00000000094,6
ENSMUSG00000000103,1
ENSMUSG00000000120,58
ENSMUSG00000000125,10
ENSMUSG00000000126,49
ENSMUSG00000000131,91
ENSMUSG00000000134,91
ENSMUSG00000000142,78
ENSMUSG00000000149,91
ENSMUSG00000000154,60
ENSMUSG00000000157,8
ENSMUSG00000000159,36
ENSMUSG00000000167,35
ENSMUSG00000000168,91
ENSMUSG00000000171,91
ENSMUSG00000000182,2
ENSMUSG00000000184,91
ENSMUSG00000000194,91
ENSMUSG00000000197,46
ENSMUSG00000000202,28
ENSMUSG00000000204,34
ENSMUSG00000000214,22
ENSMUSG00000000215,15
ENSMUSG00000000216,16
ENSMUSG00000000223,48
ENSMUSG00000000244,30
ENSMUSG00000000247,31
ENSMUSG00000000248,5
ENSMUSG00000000253,76
ENSMUSG00000000263,13
ENSMUSG00000000266,77
ENSMUSG00000000275,91
ENSMUSG00000000276,89
ENSMUSG00000000278,91
ENSMUSG00000000282,91
ENSMUSG00000000290,72
ENSMUSG00000000295,91
ENSMUSG00000000296,74
ENSMUSG00000000301,85
ENSMUSG00000000303,64
ENSMUSG00000000305,44
ENSMUSG00000000308,61
ENSMUSG00000000317,23
ENSMUSG00000000318,24
ENSMUSG00000000320,28
ENSMUSG00000000325,85
ENSMUSG00000000326,91
ENSMUSG00000000340,91
ENSMUSG00000000346,91
ENSMUSG00000000355,91
ENSMUSG00000000359,39
ENSMUSG00000000365,24
ENSMUSG00000000378,91
ENSMUSG00000000381,2
ENSMUSG00000000385,38
ENSMUSG00000000386,26
ENSMUSG00000000392,38
ENSMUSG00000000394,19
ENSMUSG00000000399,91
ENSMUSG00000000402,42
ENSMUSG00000000409,20
