"","sample","tissue","other","sampleGood","sizeFactor"
"sample001","counts.Atoh1%2b%20Inner%20ear%20hair%20cells%20-%20organ%20of%20corti%2c%20pool1.CNhs12533.12158-128G7","Atoh1+ Inner ear hair cells - organ of corti","pool1.CNhs12533.12158-128G7","sample001",1.52375197228313
"sample004","counts.CD326%2b%20enterocyte%2c%20pool1.CNhs13542.11848-124I3","CD326+ enterocyte","pool1.CNhs13542.11848-124I3","sample004",0.85864983777926
"sample005","counts.CD326%2b%20enterocyte%2c%20pool2.CNhs13197.11849-124I4","CD326+ enterocyte","pool2.CNhs13197.11849-124I4","sample005",0.526754470201036
"sample008","counts.CD4%2bCD25%2b%20regulatory%20T%20cells%2c%20pool2%20%28Balb_cAJcl%29.CNhs13221.11818-124E9","CD4+CD25+ regulatory T cells","pool2 (Balb_cAJcl).CNhs13221.11818-124E9","sample008",1.8784203466729
"sample009","counts.CD4%2bCD25-CD44-%20naive%20conventional%20T%20cells%2c%20PMA%20and%20ionomycin%20stimulation%2c%2002hr%2c%20pool1%20%28C57BL_6J%29.CNhs13219.11816-124E7","CD4+CD25-CD44- naive conventional T cells","pool1 (C57BL_6J).CNhs13219.11816-124E7","sample009",1.64665612055585
"sample010","counts.CD4%2bCD25-CD44-%20naive%20conventional%20T%20cells%2c%20PMA%20and%20ionomycin%20stimulation%2c%2002hr%2c%20pool2%20%28Balb_cAJcl%29.CNhs13226.11820-124F2","CD4+CD25-CD44- naive conventional T cells","pool2 (Balb_cAJcl).CNhs13226.11820-124F2","sample010",0.989330755104416
"sample011","counts.CD4%2bCD25-CD44-%20naive%20conventional%20T%20cells%2c%20antiCD3_CD28%20stimulation%2c%2006hr%2c%20pool1%20%28C57BL_6J%29.CNhs13218.11815-124E6","CD4+CD25-CD44- naive conventional T cells","pool1 (C57BL_6J).CNhs13218.11815-124E6","sample011",1.23239963176326
"sample012","counts.CD4%2bCD25-CD44-%20naive%20conventional%20T%20cells%2c%20antiCD3_CD28%20stimulation%2c%2006hr%2c%20pool2%20%28Balb_cAJcl%29.CNhs13225.11819-124F1","CD4+CD25-CD44- naive conventional T cells","pool2 (Balb_cAJcl).CNhs13225.11819-124F1","sample012",2.63365046525123
"sample013","counts.CD4%2bCD25-CD44-%20naive%20conventional%20T%20cells%2c%20pool1%20%28C57BL_6J%29.CNhs13217.11813-124E4","CD4+CD25-CD44- naive conventional T cells","pool1 (C57BL_6J).CNhs13217.11813-124E4","sample013",1.43307008027389
"sample014","counts.CD4%2bCD25-CD44-%20naive%20conventional%20T%20cells%2c%20pool2%20%28Balb_cAJcl%29.CNhs13220.11817-124E8","CD4+CD25-CD44- naive conventional T cells","pool2 (Balb_cAJcl).CNhs13220.11817-124E8","sample014",2.77669595844146
"sample015","counts.CD41%2b%20megakaryocyte%20control%2c%20donor1.CNhs13212.11775-124A2","CD41+ megakaryocyte control","donor1.CNhs13212.11775-124A2","sample015",1.53860402520841
"sample016","counts.CD41%2b%20megakaryocyte%20control%2c%20donor2.CNhs13214.11777-124A4","CD41+ megakaryocyte control","donor2.CNhs13214.11777-124A4","sample016",1.78418192384206
"sample017","counts.CD41%2b%20megakaryocyte%20control%2c%20donor3.CNhs13201.11779-124A6","CD41+ megakaryocyte control","donor3.CNhs13201.11779-124A6","sample017",0.563199267078317
"sample018","counts.Follicle%20Associated%20Epithelium%2c%20pool2.CNhs13211.10262-104D1","Follicle Associated Epithelium","pool2.CNhs13211.10262-104D1","sample018",1.44030332214656
"sample019","counts.Follicle%20Associated%20Epithelium%2c%20pool3.CNhs13200.10263-104D2","Follicle Associated Epithelium","pool3.CNhs13200.10263-104D2","sample019",1.00626412669315
"sample020","counts.GP2%2b%20M%20cell%2c%20pool1.CNhs13228.11845-124H9","GP2+ M cell","pool1.CNhs13228.11845-124H9","sample020",0.418141211239768
"sample021","counts.GP2%2b%20M%20cell%2c%20pool2.CNhs13231.11846-124I1","GP2+ M cell","pool2.CNhs13231.11846-124I1","sample021",0.548268732784765
"sample022","counts.GP2%2b%20M%20cell%2c%20pool3.CNhs13240.11847-124I2","GP2+ M cell","pool3.CNhs13240.11847-124I2","sample022",1.08770435989607
"sample023","counts.Ileum%20epithelium%2c%20pool1.CNhs13199.10252-104B9","Ileum epithelium","pool1.CNhs13199.10252-104B9","sample023",1.21945260910524
"sample024","counts.Ileum%20epithelium%2c%20pool2.CNhs13232.10253-104C1","Ileum epithelium","pool2.CNhs13232.10253-104C1","sample024",0.945652984963017
"sample025","counts.Ileum%20epithelium%2c%20treated%20with%20RANKL%2c%20day03%2c%20pool3.CNhs13234.10260-104C8","Ileum epithelium","pool3.CNhs13234.10260-104C8","sample025",1.0125845860041
"sample026","counts.Lgr5%20positive%20intestinal%20stem%20cells%2c%20pool1.CNhs12555.12228-129F5","Lgr5 positive intestinal stem cells","pool1.CNhs12555.12228-129F5","sample026",0.767086467701663
"sample027","counts.Lgr5%20positive%20intestinal%20stem%20cells%2c%20pool2.CNhs12556.12229-129F6","Lgr5 positive intestinal stem cells","pool2.CNhs12556.12229-129F6","sample027",1.27314268565931
"sample028","counts.Lgr5%20positive%20intestinal%20stem%20cells%2c%20pool3.CNhs12557.12230-129F7","Lgr5 positive intestinal stem cells","pool3.CNhs12557.12230-129F7","sample028",1.06539973475177
"sample029","counts.MC1%2bGr1%2b%20myeloid-derived%20suppressor%20cells%20control%2c%20donor1%20%284%2c5%2c6PBS%29.CNhs12540.12160-128G9","MC1+Gr1+ myeloid-derived suppressor cells control","donor1 (4,5,6PBS).CNhs12540.12160-128G9","sample029",0.440115626523884
"sample030","counts.MC1%2bGr1%2b%20myeloid-derived%20suppressor%20cells%20control%2c%20donor2%20%280127%20PBS%29.CNhs12541.12162-128H2","MC1+Gr1+ myeloid-derived suppressor cells control","donor2 (0127 PBS).CNhs12541.12162-128H2","sample030",0.3760781069275
"sample031","counts.MC1%2bGr1%2b%20myeloid-derived%20suppressor%20cells%20control%2c%20donor3%20%280128%20PBS%29.CNhs12543.12164-128H4","MC1+Gr1+ myeloid-derived suppressor cells control","donor3 (0128 PBS).CNhs12543.12164-128H4","sample031",0.531650318568853
"sample034","counts.Mouse%20Aortic%20Smooth%20Muscle%20cells%2c%20donor1.CNhs11297.11299-117B3","Mouse Aortic Smooth Muscle cells","donor1.CNhs11297.11299-117B3","sample034",1.27554599184555
"sample035","counts.Mouse%20Astrocytes%20-%20cerebellar%2c%20donor1.CNhs13077.11708-123B7","Mouse Astrocytes - cerebellar","donor1.CNhs13077.11708-123B7","sample035",0.270012405319341
"sample036","counts.Mouse%20Astrocytes%20-%20cerebellar%2c%20donor2.CNhs12076.11550-120C2","Mouse Astrocytes - cerebellar","donor2.CNhs12076.11550-120C2","sample036",0.965712451347788
"sample037","counts.Mouse%20Astrocytes%20-%20hippocampus%2c%20donor1.CNhs12129.11709-123B8","Mouse Astrocytes - hippocampus","donor1.CNhs12129.11709-123B8","sample037",0.989497349761998
"sample038","counts.Mouse%20Astrocytes%20-%20hippocampus%2c%20donor2.CNhs12077.11551-120C3","Mouse Astrocytes - hippocampus","donor2.CNhs12077.11551-120C3","sample038",1.17242901760971
"sample041","counts.Mouse%20CD19%2b%20B%20Cells%2c%20donor1.CNhs13531.11856-125A2","Mouse CD19+ B Cells","donor1.CNhs13531.11856-125A2","sample041",1.45071558451558
"sample042","counts.Mouse%20CD4%2b%20T%20Cells%2c%20donor1.CNhs13509.11854-124I9","Mouse CD4+ T Cells","donor1.CNhs13509.11854-124I9","sample042",0.337024127391327
"sample043","counts.Mouse%20CD8%2b%20T%20Cells%2c%20donor1.CNhs13511.11855-125A1","Mouse CD8+ T Cells","donor1.CNhs13511.11855-125A1","sample043",0.715608481104936
"sample044","counts.Mouse%20Cardiac%20Myocytes%2c%20donor1.CNhs12355.11711-123C1","Mouse Cardiac Myocytes","donor1.CNhs12355.11711-123C1","sample044",0.875421497369863
"sample045","counts.Mouse%20Cardiac%20Myocytes%2c%20donor2.CNhs12356.11729-123E1","Mouse Cardiac Myocytes","donor2.CNhs12356.11729-123E1","sample045",0.807894316000083
"sample046","counts.Mouse%20Cardiac%20Myocytes%2c%20donor3.CNhs12353.11634-122C5","Mouse Cardiac Myocytes","donor3.CNhs12353.11634-122C5","sample046",0.45388820967761
"sample047","counts.Mouse%20Granule%20cells%2c%20donor1.CNhs12131.11713-123C3","Mouse Granule cells","donor1.CNhs12131.11713-123C3","sample047",1.15962476779969
"sample048","counts.Mouse%20Granule%20cells%2c%20donor2.CNhs12357.11731-123E3","Mouse Granule cells","donor2.CNhs12357.11731-123E3","sample048",0.432453455273436
"sample049","counts.Mouse%20Granule%20cells%2c%20donor3.CNhs12108.11636-122C7","Mouse Granule cells","donor3.CNhs12108.11636-122C7","sample049",0.360815664522835
"sample050","counts.Mouse%20Meningeal%20cells%2c%20donor1.CNhs12132.11716-123C6","Mouse Meningeal cells","donor1.CNhs12132.11716-123C6","sample050",0.601528562448341
