"","ID","Gene.title","Gene.symbol","Gene.ID","UniGene.title","UniGene.symbol","UniGene.ID","Nucleotide.Title","GI","GenBank.Accession","Platform_CLONEID","Platform_ORF","Platform_SPOTID","Chromosome.location","Chromosome.annotation","GO.Function","GO.Process","GO.Component","GO.Function.ID","GO.Process.ID","GO.Component.ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1418790_at","1418790_at","Fez family zinc finger 2","Fezf2","54713","","","","Mus musculus Fez family zinc finger 2 (Fezf2), mRNA",256355081,"NM_080433",NA,NA,NA,"14 A1","Chromosome 14, NC_000080.6 (12341892..12345865, complement)","DNA binding///RNA polymerase II core promoter proximal region sequence-specific DNA binding///chromatin binding///metal ion binding///nucleic acid binding///transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding///transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding","axon guidance///axonal fasciculation///cell differentiation///cerebral cortex GABAergic interneuron migration///cerebral cortex neuron differentiation///commitment of neuronal cell to specific neuron type in forebrain///commitment of neuronal cell to specific neuron type in forebrain///dendrite development///dentate gyrus development///forebrain anterior/posterior pattern specification///forebrain development///locomotory behavior///multicellular organism development///negative regulation of cell proliferation///negative regulation of neuron differentiation///negative regulation of transcription from RNA polymerase II promoter///nervous system development///neuron fate determination///positive regulation of neuron differentiation///positive regulation of transcription, DNA-templated///regulation of axon guidance///regulation of transcription, DNA-templated///telencephalon development///telencephalon development///transcription, DNA-templated","nucleus","GO:0003677///GO:0000978///GO:0003682///GO:0046872///GO:0003676///GO:0001228///GO:0001227","GO:0007411///GO:0007413///GO:0030154///GO:0021853///GO:0021895///GO:0021902///GO:0021902///GO:0016358///GO:0021542///GO:0021797///GO:0030900///GO:0007626///GO:0007275///GO:0008285///GO:0045665///GO:0000122///GO:0007399///GO:0048664///GO:0045666///GO:0045893///GO:1902667///GO:0006355///GO:0021537///GO:0021537///GO:0006351","GO:0005634",-8.52529484698021,8.1537670167186,-74.4642986588569,2.90142672996768e-17,1.30857246948273e-12,23.0112621552635
"1417504_at","1417504_at","calbindin 1","Calb1","12307","","","","BB246032 RIKEN full-length enriched, 7 days neonate cerebellum Mus musculus cDNA clone A730012N04 3-, mRNA sequence",16355442,"BB246032",NA,NA,NA,"4 6.66 cM","Chromosome 4, NC_000070.6 (15881264..15906709)","calcium ion binding///calcium ion binding///metal ion binding///vitamin D binding///zinc ion binding","calcium ion homeostasis///cellular response to organic substance///locomotory behavior///long-term memory///metanephric collecting duct development///metanephric connecting tubule development///metanephric distal convoluted tubule development///metanephric part of ureteric bud development///regulation of cytosolic calcium ion concentration///regulation of cytosolic calcium ion concentration///regulation of synaptic plasticity///retina development in camera-type eye///retina layer formation///short-term memory","axon///axon///cell body///cytoplasm///cytoplasm///cytosol///dendrite///dendrite///extracellular exosome///intracellular///neuron projection///neuronal cell body///neuronal cell body///nucleus///nucleus///synapse///terminal bouton","GO:0005509///GO:0005509///GO:0046872///GO:0005499///GO:0008270","GO:0055074///GO:0071310///GO:0007626///GO:0007616///GO:0072205///GO:0072286///GO:0072221///GO:0035502///GO:0051480///GO:0051480///GO:0048167///GO:0060041///GO:0010842///GO:0007614","GO:0030424///GO:0030424///GO:0044297///GO:0005737///GO:0005737///GO:0005829///GO:0030425///GO:0030425///GO:0070062///GO:0005622///GO:0043005///GO:0043025///GO:0043025///GO:0005634///GO:0005634///GO:0045202///GO:0043195",-2.18121981647832,7.95605544066758,-25.5390071742204,9.1018810437921e-12,5.86434195651525e-08,16.717757012744
"1455913_x_at","1455913_x_at","transthyretin","Ttr","22139","","","","AV152953 Mus musculus hippocampus C57BL/6J adult Mus musculus cDNA clone 2900051A13, mRNA sequence",5358159,"AV152953",NA,NA,NA,"18 11.47 cM","Chromosome 18, NC_000084.6 (20665250..20674326)","hormone activity///hormone binding///identical protein binding///protein binding///protein heterodimerization activity///thyroid hormone binding","retinol metabolic process///thyroid hormone transport///transport","extracellular exosome///extracellular region///extracellular space///extracellular space///protein complex","GO:0005179///GO:0042562///GO:0042802///GO:0005515///GO:0046982///GO:0070324","GO:0042572///GO:0070327///GO:0006810","GO:0070062///GO:0005576///GO:0005615///GO:0005615///GO:0043234",-2.6136046643421,7.55382008886935,-22.5018897321337,3.9957177353682e-11,1.38623742756032e-07,15.5455041954461
"1454608_x_at","1454608_x_at","transthyretin","Ttr","22139","","","","",NA,"",NA,NA,NA,"18 11.47 cM","Chromosome 18, NC_000084.6 (20665250..20674326)","hormone activity///hormone binding///identical protein binding///protein binding///protein heterodimerization activity///thyroid hormone binding","retinol metabolic process///thyroid hormone transport///transport","extracellular exosome///extracellular region///extracellular space///extracellular space///protein complex","GO:0005179///GO:0042562///GO:0042802///GO:0005515///GO:0046982///GO:0070324","GO:0042572///GO:0070327///GO:0006810","GO:0070062///GO:0005576///GO:0005615///GO:0005615///GO:0043234",-2.50769533726121,8.96212042361134,-20.2193141947155,1.38577168511851e-10,3.64936674395574e-07,14.5034022303567
"1460468_s_at","1460468_s_at","DnaJ heat shock protein family (Hsp40) member C22","Dnajc22","72778","","","","BB667713 RIKEN full-length enriched, adult male liver tumor Mus musculus cDNA clone C730035D20 3-, mRNA sequence",16399162,"BB667713",NA,NA,NA,"15 F1","Chromosome 15, NC_000081.6 (99099134..99104737)","","","cellular_component///integral component of membrane///membrane","","","GO:0005575///GO:0016021///GO:0016020",-1.73870704707134,5.55299419575078,-19.9815385157937,1.58945970524419e-10,3.77295906137992e-07,14.3855873979372
"1428667_at","1428667_at","monoamine oxidase A","Maoa","17161","","","","",NA,"",NA,NA,NA,"X 11.78 cM","Chromosome X, NC_000086.7 (16619698..16687812)","flavin adenine dinucleotide binding///oxidoreductase activity///primary amine oxidase activity///primary amine oxidase activity///protein binding///serotonin binding","catecholamine metabolic process///dopamine catabolic process///neurotransmitter catabolic process///oxidation-reduction process///phenylethylamine metabolic process///serotonin metabolic process","integral component of membrane///membrane///mitochondrial outer membrane///mitochondrion///mitochondrion///mitochondrion","GO:0050660///GO:0016491///GO:0008131///GO:0008131///GO:0005515///GO:0051378","GO:0006584///GO:0042420///GO:0042135///GO:0055114///GO:0042443///GO:0042428","GO:0016021///GO:0016020///GO:0005741///GO:0005739///GO:0005739///GO:0005739",-2.22110567959107,7.74080098792245,-19.5223273972627,2.08062900218313e-10,4.64681963705893e-07,14.1526659751571
"1426908_at","1426908_at","UDP-N-acetyl-alpha-D-galactosamine: polypeptide N-acetylgalactosaminyltransferase 7","Galnt7","108150","","","","AV302406 RIKEN full-length enriched, 8 days embryo Mus musculus cDNA clone 5730502K21 3-, mRNA sequence",16393472,"AV302406",NA,NA,NA,"8 B3.2","Chromosome 8, NC_000074.6 (57523825..57653055, complement)","1,2-dihydroxy-phenanthrene glycosyltransferase activity///1-phenanthrol glycosyltransferase activity///9-phenanthrol UDP-glucuronosyltransferase activity///9-phenanthrol glycosyltransferase activity///O antigen polymerase activity///UDP-glucose:glycoprotein glucosyltransferase activity///acetylgalactosaminyltransferase activity///acetylglucosaminyltransferase activity///alpha-(1->3)-fucosyltransferase activity///alpha-(1->6)-fucosyltransferase activity///alpha-1,2-galactosyltransferase activity///alpha-1,2-mannosyltransferase activity///alpha-1,3-galactosyltransferase activity///alpha-1,3-mannosyltransferase activity///alpha-1,6-mannosyltransferase activity///benzoic acid glucosyltransferase activity///beta-1,4-mannosyltransferase activity///carbohydrate binding///cellulose synthase activity///chondroitin hydrolase activity///cytokinin 9-beta-glucosyltransferase activity///dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase activity///dolichyl pyrophosphate Man7GlcNAc2 alpha-1,3-glucosyltransferase activity///dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase activity///dolichyl-phosphate-glucose-glycolipid alpha-glucosyltransferase activity///dolichyl-pyrophosphate Man7GlcNAc2 alpha-1,6-mannosyltransferase activity///fucosyltransferase activity///galactosyltransferase activity///glucosyltransferase activity///glycolipid mannosyltransferase activity///indole-3-butyrate beta-glucosyltransferase activity///inositol phosphoceramide synthase activity///lipopolysaccharide-1,5-galactosyltransferase activity///lipopolysaccharide-1,6-galactosyltransferase activity///mannosyltransferase activity///metal ion binding///oligosaccharyl transferase activity///phenanthrol glycosyltransferase activity///polypeptide N-acetylgalactosaminyltransferase activity///salicylic acid glucosyltransferase (ester-forming) activity///salicylic acid glucosyltransferase (glucoside-forming) activity///transferase activity///transferase activity, transferring glycosyl groups","protein O-linked glycosylation","Golgi apparatus///extracellular exosome///integral component of membrane///membrane","GO:0018718///GO:0018716///GO:0018715///GO:0018717///GO:0008755///GO:0003980///GO:0008376///GO:0008375///GO:0046920///GO:0046921///GO:0031278///GO:0000026///GO:0001962///GO:0000033///GO:0000009///GO:0052641///GO:0019187///GO:0030246///GO:0016759///GO:0052757///GO:0080062///GO:0042283///GO:0033556///GO:0042281///GO:0004583///GO:0052824///GO:0008417///GO:0008378///GO:0046527///GO:0004376///GO:0052638///GO:0045140///GO:0035496///GO:0008921///GO:0000030///GO:0046872///GO:0004576///GO:0019112///GO:0004653///GO:0052639///GO:0052640///GO:0016740///GO:0016757","GO:0006493","GO:0005794///GO:0070062///GO:0016021///GO:0016020",-1.60244363442303,7.41806137985287,-19.456431023533,2.16365961682086e-10,4.64681963705893e-07,14.1186460383549
"1452166_a_at","1452166_a_at","keratin 10","Krt10","16661","","","","Mus musculus 17 days embryo head cDNA, RIKEN full-length enriched library, clone:3300001N19 product:inferred: putative [Mus musculus], full insert sequence",12852156,"AK014360",NA,NA,NA,"11 62.92 cM","Chromosome 11, NC_000077.6 (99385254..99389699, complement)","cytoskeletal protein binding///protein binding///structural molecule activity","cellular response to calcium ion///epidermis development///epithelial cell differentiation///intermediate filament organization///keratinocyte development","intermediate filament///keratin filament","GO:0008092///GO:0005515///GO:0005198","GO:0071277///GO:0008544///GO:0030855///GO:0045109///GO:0003334","GO:0005882///GO:0045095",-2.51250763788526,10.0808033011926,-18.9738447954618,2.89284281914749e-10,5.93045927210778e-07,13.8648048393915
"1450625_at","1450625_at","collagen, type V, alpha 2","Col5a2","12832","","","","AV229424 RIKEN full-length enriched, 0 day neonate skin Mus musculus cDNA clone 4631412C15 3-, mRNA sequence",16385646,"AV229424",NA,NA,NA,"1 C1","Chromosome 1, NC_000067.6 (45374331..45503282, complement)","SMAD binding///extracellular matrix structural constituent///metal ion binding","cellular response to amino acid stimulus///collagen fibril organization///collagen fibril organization///eye morphogenesis///negative regulation of endodermal cell differentiation///skeletal system development///skin development///skin development","collagen trimer///collagen type V trimer///extracellular matrix///extracellular region///proteinaceous extracellular matrix","GO:0046332///GO:0005201///GO:0046872","GO:0071230///GO:0030199///GO:0030199///GO:0048592///GO:1903225///GO:0001501///GO:0043588///GO:0043588","GO:0005581///GO:0005588///GO:0031012///GO:0005576///GO:0005578",-1.57686745658798,5.78016159125731,-18.8975017449276,3.0307853590132e-10,5.94310654247192e-07,13.8238761591435
"1459737_s_at","1459737_s_at","transthyretin","Ttr","22139","","","","",NA,"",NA,NA,NA,"18 11.47 cM","Chromosome 18, NC_000084.6 (20665250..20674326)","hormone activity///hormone binding///identical protein binding///protein binding///protein heterodimerization activity///thyroid hormone binding","retinol metabolic process///thyroid hormone transport///transport","extracellular exosome///extracellular region///extracellular space///extracellular space///protein complex","GO:0005179///GO:0042562///GO:0042802///GO:0005515///GO:0046982///GO:0070324","GO:0042572///GO:0070327///GO:0006810","GO:0070062///GO:0005576///GO:0005615///GO:0005615///GO:0043234",-2.41341019179973,8.57951967444525,-18.5162262008746,3.83490100020232e-10,6.918314800405e-07,13.6162189908229
